year,month,spx_tr_real,y10_bm_real
1871,1,,
1871,2,-0.0115146124,-0.007375011804
1871,3,0.0144157692,-0.003552413693
1871,4,0.07330801661,0.05404830716
1871,5,0.05182874246,0.03959945654
1871,6,0.01218305984,0.02735731781
1871,7,-0.01380230441,-0.0122288776
1871,8,0.03106997412,0.02428322572
1871,9,-0.009103661723,-0.01065301738
1871,10,-0.06182150222,-0.01828344831
1871,11,0.01533595073,0.005879259677
1871,12,0.005384395256,-0.01469306711
1872,1,0.02821621564,-0.0253390698
1872,2,0.00965327234,-0.0007622576244
1872,3,0.01972776849,-0.006614474065
1872,4,0.01155413574,0.002319465314
1872,5,0.004274919324,0.02468072661
1872,6,0.001941017398,0.02291913303
1872,7,0.0118286881,-0.003269344797
1872,8,-0.01460909413,-0.004259634531
1872,9,-0.01693721666,-0.01618716668
1872,10,0.03028660154,0.03920936764
1872,11,-0.02648074515,-0.0207003786
1872,12,0.04280963465,0.02671002984
1873,1,0.01221291449,-0.01152701714
1873,2,-0.007257252826,-0.01478254833
1873,3,-0.004440680101,0.01346380065
1873,4,-0.00910377595,0.01225498312
1873,5,0.03028565888,0.04158336918
1873,6,0.02343380414,0.04699634315
1873,7,0.003315451403,-0.02050916113
1873,8,0.005824899703,0.002532874445
1873,9,-0.07166703641,-0.01838313836
1873,10,-0.05886806234,0.004022293385
1873,11,0.001433392954,0.03414378585
1873,12,0.07568006213,0.02889220114
1874,1,0.04162660646,-0.02449324304
1874,2,0.03362880577,0.02363061476
1874,3,-0.008678442218,0.01051598553
1874,4,-0.009284473001,0.02654760095
1874,5,-0.01130401969,0.01242401883
1874,6,0.02417166398,0.03152186279
1874,7,-0.002495590141,-0.03810777062
1874,8,0.01642615008,0.01332473106
1874,9,0.02225723268,0.0008909740045
1874,10,0.01920257902,0.02170135153
1874,11,0.01934169523,0.02540912258
1874,12,0.002811973384,0.01947232037
1875,1,0.005933299611,-0.01059881033
1875,2,0.003225142755,0.01149790531
1875,3,0.01691563761,0.0050522607
1875,4,0.01069111833,0.008320905026
1875,5,-0.007787094831,0.04256107923
1875,6,0.0001312315582,0.0319992124
1875,7,0.008056656538,-0.03557710344
1875,8,0.002265641533,-0.00548656465
1875,9,0.002365175855,0.0104535953
1875,10,-0.009012729532,0.0066782748
1875,11,0.02851899059,0.01746172942
1875,12,0.01422006932,0.01903633479
1876,1,0.03770517205,-0.003935871264
1876,2,0.01970518099,0.01351899538
1876,3,0.00260668277,0.0003821199755
1876,4,-0.02497174923,0.009705199961
1876,5,0.00341520328,0.04084637125
1876,6,0.02785931535,0.04164246368
1876,7,-0.006738104221,-0.01626721961
1876,8,-0.04607704801,-0.02532924002
1876,9,-0.06329539065,-0.02338795266
1876,10,-0.01927939396,-0.02210269052
1876,11,-0.0202195998,-0.002097285255
1876,12,-0.01870559801,-0.01569250554
1877,1,-0.01916285738,-0.03663915165
1877,2,-0.02892321265,0.0260136207
1877,3,-0.002121604439,0.04292518741
1877,4,-0.09049759488,-0.01683352904
1877,5,-0.01234407331,-0.00009633105379
1877,6,-0.01341107876,0.04630954493
1877,7,0.03666721814,-0.005582108235
1877,8,0.1162359643,0.03288878569
1877,9,0.07592326125,-0.01166944562
1877,10,0.02700655959,0.000230834083
1877,11,0.008577517837,0.02894917333
1877,12,0.0001207115004,-0.000420426517
1878,1,0.03516959746,0.0343016963
1878,2,-0.004710701416,0.01370941078
1878,3,0.04160063267,0.0177577407
1878,4,0.04613531238,0.005971448196
1878,5,0.04142545542,0.05602169824
1878,6,0.04931334539,0.01480782947
1878,7,0.01028590601,-0.01651669371
1878,8,-0.01818650509,-0.005965379498
1878,9,0.02555924627,0.003916585929
1878,10,0.004387566095,0.007056354549
1878,11,0.01185230652,0.01726253046
1878,12,0.02006400364,0.02920935068
1879,1,0.03200519759,-0.01558265173
1879,2,0.02688888105,-0.004350097667
1879,3,0.001845975037,0.01045664164
1879,4,0.0465502733,0.02258028966
1879,5,0.05023882443,0.02640057773
1879,6,0.02521859839,0.009467583729
1879,7,0.007597086407,-0.01561499899
1879,8,0.01304873545,0.001416088514
1879,9,0.005325380781,-0.02335556405
1879,10,0.05339681286,-0.04949433682
1879,11,0.003167843585,-0.038705295
1879,12,-0.02841057803,-0.01980424061
1880,1,0.01174570653,-0.02310657829
1880,2,0.02301288482,0.02488532747
1880,3,0.0104702063,0.001283827703
1880,4,0.02083935507,0.04367918397
1880,5,-0.04746611712,0.04311109136
1880,6,0.02763969753,0.03556906665
1880,7,0.05108561806,-0.00206210445
1880,8,0.0413939118,0.01456102756
1880,9,-0.008617881852,-0.01170513122
1880,10,0.03283043029,-0.006688861294
1880,11,0.04696936667,0.01744296854
1880,12,0.03322068732,0.003586306493
1881,1,0.0739714607,0.01871934795
1881,2,-0.01049957882,-0.003264117843
1881,3,0.01552053078,0.006810130681
1881,4,-0.008493020586,0.002246105741
1881,5,0.05781483125,0.03325280654
1881,6,0.0148768102,0.009806545964
1881,7,-0.04018697853,-0.01972859135
1881,8,-0.03901649262,-0.0234222184
1881,9,-0.02610598655,-0.02629735619
1881,10,-0.02139123681,-0.01280575198
1881,11,0.0192387975,0.01932037589
1881,12,-0.02400221895,0.01466772089
